"kclust","Age","Overall","Potential","Wage","InternationalReputation","JerseyNumber","Height","Weight","ST","CF","W","CAM","CM","OM","CDM","WB","CB","FB","Crossing","Finishing","HeadingAccuracy","ShortPassing","Volleys","Dribbling","Curve","FKAccuracy","LongPassing","BallControl","Acceleration","SprintSpeed","Agility","Reactions","Balance","ShotPower","Jumping","Stamina","Strength","LongShots","Aggression","Interceptions","Positioning","Vision","Penalties","Composure","Marking","StandingTackle","SlidingTackle"
"19",3,30,81,81,40,1,8,67,139,72,78,79,80,73,79,53,57,38,51,73,72,44,79,67,82,56,75,80,82,86,78,89,80,88,67,44,67,48,75,41,31,82,80,74,77,29,13,23
"20",1,22,81,86,36,1,8,70,148,73,78,78,80,80,78,76,75,70,73,74,77,50,84,70,81,63,60,80,81,71,66,79,76,76,75,59,77,67,80,69,74,77,86,46,71,72,74,73
"21",1,25,81,84,71,3,10,70,161,72,76,77,78,78,77,73,73,66,70,77,64,55,83,69,83,74,67,78,83,73,69,81,73,77,76,64,79,68,72,60,72,77,81,66,82,57,70,62
"22",1,30,81,81,41,3,7,75,174,78,80,79,80,76,78,62,62,52,57,78,78,58,82,80,83,77,84,74,87,67,70,70,80,56,87,33,64,74,87,58,46,80,82,78,80,53,32,26
"23",1,26,81,81,130,3,23,67,159,75,79,80,80,77,80,66,67,55,63,78,71,45,81,76,86,88,84,80,84,84,77,84,80,91,87,52,75,73,84,61,55,74,81,65,82,35,49,48
"24",1,29,81,81,65,3,23,69,150,70,76,77,79,77,78,66,68,54,64,65,76,48,83,76,86,74,63,72,83,74,60,87,81,88,54,65,82,39,55,30,59,80,80,80,83,56,53,49
"25",1,25,81,85,90,2,10,66,130,72,78,79,79,74,79,55,59,43,54,74,70,56,80,61,87,76,76,78,86,84,78,86,73,89,75,75,73,39,76,48,27,73,79,73,77,27,36,25
"26",1,33,81,81,74,3,20,69,161,71,76,76,80,81,77,74,72,66,69,78,67,60,89,70,85,78,76,85,88,55,52,74,81,80,72,67,69,66,70,52,70,70,86,72,83,65,66,62
"27",3,19,80,89,32,1,29,74,183,74,78,78,79,74,78,58,61,49,58,69,72,65,82,71,81,65,53,73,83,77,86,78,78,71,66,69,73,61,66,40,32,78,83,49,80,28,42,38
"28",1,24,80,84,11,1,10,69,139,73,78,78,78,74,79,64,68,54,65,71,74,43,79,75,81,74,70,70,79,90,89,86,79,64,78,46,85,52,73,65,50,74,79,64,76,43,53,49
"29",3,21,80,87,29,1,10,71,172,74,79,80,79,74,79,58,61,47,56,81,78,44,80,64,84,69,71,73,85,72,75,70,81,70,73,58,71,59,79,40,29,80,79,52,69,50,32,30
"30",1,24,80,84,89,3,10,70,168,73,78,79,80,78,79,70,71,60,68,81,65,53,83,77,85,92,90,80,86,73,69,78,78,77,86,46,76,54,88,57,61,75,80,71,78,62,56,56
"31",1,28,80,80,44,2,10,71,170,78,79,78,79,76,77,66,65,59,62,75,80,58,80,73,81,78,75,75,83,70,67,75,81,73,88,76,66,76,87,70,51,82,74,65,79,36,59,49
"32",1,26,80,81,52,2,22,72,163,72,78,78,79,72,77,56,59,47,55,72,69,48,78,74,87,80,83,71,86,82,76,81,74,79,76,63,60,58,78,44,32,75,78,75,75,39,35,35
"33",1,25,80,83,31,2,10,67,139,72,78,80,79,74,78,63,65,55,61,74,76,43,80,63,86,78,69,67,83,83,75,88,81,94,61,73,64,46,72,66,45,80,77,61,77,58,55,34
"34",1,28,80,80,31,2,10,70,163,72,77,78,79,74,78,60,61,49,56,82,77,45,81,73,81,83,82,76,80,75,73,78,74,78,78,61,68,61,76,58,32,75,85,90,79,55,35,30
"35",1,31,80,80,23,2,10,72,179,74,77,77,79,76,78,67,67,61,64,78,62,60,82,73,84,78,78,76,86,70,74,68,76,68,84,68,72,77,83,55,49,75,82,76,80,68,52,40
"36",1,31,80,80,30,2,22,72,185,80,79,77,79,80,77,76,72,75,72,78,79,90,79,55,78,72,68,80,85,47,57,66,86,64,85,76,74,82,86,84,69,85,83,76,83,69,74,63
"37",1,22,79,85,61,1,17,71,152,72,78,78,79,78,78,74,75,67,73,69,72,38,80,70,86,75,79,73,82,80,83,82,79,78,76,63,85,54,75,81,70,73,78,52,80,67,75,66
"38",3,24,79,82,39,1,4,73,172,78,77,77,75,69,76,57,59,53,56,74,79,71,72,83,83,75,58,57,79,83,86,75,77,66,81,66,80,83,78,84,29,75,68,63,73,20,50,25
"39",1,25,79,80,32,2,23,69,154,70,75,77,77,73,77,62,66,51,61,81,69,40,79,62,80,69,71,71,79,78,76,78,79,77,68,61,81,56,68,43,47,78,77,70,68,49,44,40
"40",1,27,79,79,41,2,11,72,170,72,76,76,78,73,76,59,59,50,56,74,74,57,81,71,80,79,77,77,81,70,69,78,76,73,77,66,62,53,76,69,32,75,80,73,77,30,45,39
"41",1,25,79,81,27,1,18,77,176,74,76,74,77,79,76,71,68,63,64,71,74,73,84,70,77,75,78,80,83,45,55,56,80,58,74,47,91,76,75,45,69,81,83,66,80,70,53,32
"42",1,24,79,82,27,2,11,76,192,76,76,74,75,71,73,58,58,52,55,65,80,71,77,70,75,83,78,69,78,65,68,67,78,52,84,50,69,79,81,58,33,78,73,64,65,36,40,38
"43",1,24,79,82,89,2,15,73,192,74,77,75,78,76,76,67,65,62,63,65,68,65,82,61,85,68,70,78,84,69,70,66,74,58,81,62,69,77,80,74,45,71,79,65,80,54,58,51
"44",1,28,79,79,65,2,10,70,165,74,77,78,78,76,78,69,71,63,68,79,74,67,78,69,84,78,78,76,83,75,72,85,79,78,78,77,84,63,79,75,66,70,78,80,72,50,54,55
"45",3,31,79,79,38,3,18,70,163,71,76,76,77,70,75,55,55,45,50,70,70,46,78,72,88,76,73,74,80,77,69,82,70,79,78,74,51,65,75,61,36,72,78,84,77,31,27,21
"46",1,33,79,79,22,3,22,68,165,78,81,81,81,73,80,60,62,53,59,77,80,57,80,77,82,83,79,65,83,85,83,87,81,85,79,82,68,71,78,73,31,82,83,69,78,40,40,37
"47",1,33,79,79,1,2,10,70,185,75,77,77,77,72,77,59,60,51,57,80,73,65,77,69,78,80,75,73,79,84,84,75,77,66,75,76,69,78,72,73,39,75,80,79,80,17,43,29
"48",1,22,78,84,12,1,20,70,154,70,74,74,76,76,74,70,68,62,65,65,64,54,80,64,79,76,55,78,81,68,69,76,74,75,78,54,71,60,72,68,70,74,80,62,82,61,57,50
"49",3,34,78,78,30,1,18,69,157,71,75,76,76,71,76,53,57,40,52,74,73,45,75,77,75,86,74,75,76,87,74,86,82,83,74,58,75,57,68,42,32,78,79,73,84,17,28,21
"50",1,24,78,81,15,1,17,72,170,72,76,76,76,75,77,65,67,55,64,78,72,45,78,67,78,78,83,76,77,79,70,75,77,76,84,65,88,68,81,49,50,76,78,75,76,43,57,48
"51",3,25,78,82,25,1,10,68,165,71,77,78,77,69,77,53,59,42,54,74,70,32,70,72,86,76,73,68,81,90,88,92,79,88,80,53,72,61,82,42,23,71,72,77,77,41,28,30
"52",1,21,78,85,27,1,18,71,161,69,74,75,76,75,76,67,68,58,64,73,65,43,79,65,85,76,71,73,81,77,68,79,75,76,70,66,77,66,70,48,62,69,78,65,69,53,57,46
"53",3,25,78,80,15,2,8,66,148,68,74,76,77,71,74,55,56,44,52,75,66,42,78,65,83,80,77,77,83,73,71,90,72,91,83,55,44,38,73,43,35,63,85,71,75,52,30,22
"54",1,26,78,79,19,1,24,68,159,67,74,74,77,76,74,65,64,54,60,65,66,39,82,62,81,75,74,73,83,62,57,76,76,82,66,60,75,50,71,52,62,74,82,64,81,46,52,40
"55",1,26,78,80,56,2,5,72,161,71,75,76,77,72,76,59,60,51,56,74,64,58,80,64,83,80,70,74,85,69,75,72,68,71,72,64,68,69,66,52,30,78,80,68,76,61,34,30
"56",1,29,78,78,11,2,7,67,152,69,74,76,76,75,77,63,65,53,60,81,65,42,79,70,78,81,77,76,81,71,68,78,79,78,71,65,87,61,76,66,42,75,78,76,78,44,49,37
"57",1,34,78,78,26,3,32,67,176,74,76,75,76,71,75,61,62,54,59,72,77,54,78,74,79,74,68,65,77,73,70,76,74,74,83,56,73,74,70,77,34,78,78,74,80,35,51,50
"58",1,28,78,78,36,2,7,67,157,71,75,76,76,72,76,59,62,48,58,73,70,58,79,70,82,75,78,74,80,83,77,91,72,80,73,41,73,50,73,47,56,69,74,72,72,31,34,32
"59",1,31,78,78,1,2,26,73,176,71,75,75,77,75,75,66,66,59,63,75,69,43,83,85,78,74,73,78,80,69,68,70,68,73,82,71,66,72,78,63,46,73,85,61,83,59,56,58
"60",3,29,77,77,25,2,38,71,163,75,75,76,73,66,76,51,58,45,54,75,79,66,69,70,77,71,71,60,75,91,93,83,76,70,75,71,80,65,64,51,32,77,65,79,77,34,20,19
"61",1,27,77,77,27,2,5,67,148,70,74,75,75,73,75,60,62,49,59,77,71,65,78,70,77,75,79,77,80,71,68,82,74,90,71,37,69,40,73,52,45,72,77,72,71,35,44,43
"62",3,21,77,85,45,1,22,69,161,67,74,75,76,72,75,58,60,45,56,74,69,30,78,69,77,78,79,72,82,77,74,85,68,78,83,54,67,40,73,56,45,69,81,74,76,37,40,34
"63",1,25,77,80,51,1,20,71,161,72,74,74,75,73,75,65,66,58,63,71,70,62,76,68,76,76,74,77,77,73,77,76,69,69,77,58,83,61,75,64,51,77,78,75,74,57,55,45
"64",1,27,77,78,47,2,13,71,172,71,74,75,76,78,77,72,72,64,69,84,72,53,80,65,75,82,77,81,77,63,65,66,76,73,74,70,93,71,74,66,67,76,84,65,78,57,62,61
"65",1,32,77,77,17,1,10,76,183,76,76,75,76,72,75,64,65,62,64,63,74,80,75,78,80,69,62,66,78,76,74,74,72,79,76,82,80,76,73,72,43,79,79,78,74,53,50,62
"66",3,34,77,77,10,2,10,68,157,68,72,73,75,73,73,59,59,48,54,71,62,60,86,55,76,71,67,71,78,67,69,77,72,78,73,48,71,63,69,57,46,62,86,76,73,29,39,21
"67",3,30,77,77,35,1,20,70,157,70,74,75,76,72,75,58,60,47,56,74,66,60,79,67,76,87,61,73,78,83,77,81,78,74,71,64,73,64,72,48,45,67,80,67,71,30,32,22
"68",3,22,77,82,1,1,15,72,163,69,73,74,75,71,74,55,57,44,53,65,64,53,82,62,78,64,53,71,79,71,75,77,74,67,65,58,74,64,65,43,36,72,80,57,70,22,28,29
"69",1,21,77,83,14,2,17,72,163,73,74,73,75,75,74,71,69,65,67,67,75,59,78,76,74,66,62,74,78,66,65,70,76,58,77,70,82,75,80,68,72,76,77,55,78,64,59,52
"70",3,24,77,79,8,1,10,63,134,70,75,75,76,71,75,59,60,50,57,61,67,53,75,67,83,74,62,68,78,87,78,91,74,90,71,57,76,49,67,69,36,72,77,54,74,45,47,31
"71",3,28,77,77,36,2,8,67,143,73,74,75,75,71,74,57,58,48,54,74,72,61,77,77,78,78,78,74,78,69,66,86,75,86,81,67,71,64,80,64,34,74,74,75,76,20,38,34
"72",1,28,77,77,41,2,3,72,163,76,76,75,76,73,75,65,64,61,62,76,79,76,74,75,74,76,75,75,78,65,74,72,77,51,77,69,68,78,74,60,55,80,79,75,72,57,50,38
"73",1,25,77,80,1,2,10,71,168,72,75,76,76,71,75,58,60,50,56,75,72,57,77,71,81,84,80,74,78,73,77,78,74,64,74,61,65,66,77,63,32,73,76,80,77,45,35,38
"74",3,30,77,77,12,2,18,63,126,66,74,76,76,69,75,51,56,37,52,74,62,36,74,61,79,83,76,73,79,91,85,90,74,94,69,58,63,30,78,30,25,69,77,71,71,35,31,18
"75",1,34,77,77,22,2,16,68,172,72,74,74,76,75,74,71,70,67,68,77,66,58,75,75,76,82,79,76,78,69,69,79,78,74,83,69,63,70,80,73,69,74,82,75,78,68,65,59
"76",3,26,77,78,39,2,21,68,132,67,73,75,75,70,75,54,58,41,53,76,70,35,75,65,80,77,75,77,76,85,77,87,65,85,72,53,74,43,72,44,25,70,80,64,68,46,26,30
"77",1,33,77,77,10,1,10,68,165,71,74,73,75,73,73,62,61,55,59,75,69,62,78,71,73,77,78,75,77,69,57,71,79,75,75,65,65,62,79,65,43,76,81,68,77,52,47,40
"78",1,32,77,77,39,1,10,68,161,67,72,72,75,73,72,62,61,50,58,65,64,41,80,81,79,75,80,77,77,63,62,89,75,81,79,35,73,44,78,40,42,68,79,73,74,66,44,36
"79",3,24,76,80,1,1,10,72,192,75,75,71,72,64,70,52,51,49,48,46,76,73,74,67,77,59,46,39,79,72,76,62,75,61,80,78,68,77,62,88,25,74,72,62,72,39,22,16
"80",1,28,76,76,17,3,8,72,172,69,72,71,75,73,71,58,55,46,50,79,72,56,82,75,82,80,76,80,83,36,34,68,67,54,77,29,56,67,76,56,47,71,80,76,75,31,29,30
"81",3,23,76,83,12,1,18,67,146,66,73,74,75,70,75,58,61,49,58,68,55,47,73,65,84,73,72,69,82,78,75,86,78,76,64,57,73,44,57,57,29,73,78,60,77,52,43,42
"82",1,35,76,76,0,1,16,70,163,70,71,71,73,74,72,71,69,67,68,74,69,70,81,64,69,67,68,77,76,60,53,79,72,70,71,65,75,62,71,72,65,76,77,71,80,76,61,62
"83",3,33,76,76,4,1,10,67,150,68,72,72,75,74,72,63,58,52,54,76,63,53,81,46,73,75,63,80,80,55,53,85,72,76,79,55,66,65,77,62,52,73,83,64,72,40,52,12
"84",1,27,76,76,1,1,7,73,181,73,74,74,75,74,74,67,67,63,65,73,63,71,78,70,77,77,72,75,80,73,75,72,71,54,81,70,70,77,77,56,61,74,77,70,72,50,59,53
"85",3,25,76,79,46,1,23,74,194,73,75,74,75,70,72,59,58,53,56,61,70,60,76,68,82,76,57,70,82,74,66,74,64,75,82,52,55,77,80,48,38,75,73,56,83,46,48,41
"86",1,27,76,76,19,1,27,69,165,71,74,74,74,72,73,65,65,59,63,73,71,57,75,67,78,78,73,74,77,66,70,77,73,80,82,52,71,61,77,80,54,73,76,75,71,49,53,59
"87",1,28,76,76,55,2,9,69,179,75,76,76,76,70,75,56,59,50,56,69,76,65,72,81,81,72,58,66,78,84,76,86,77,72,77,77,76,65,74,60,25,76,73,70,73,34,45,36
"88",1,34,76,76,12,3,10,70,150,68,73,74,75,71,74,60,59,50,55,77,67,47,77,68,80,82,74,75,82,64,63,76,71,74,71,70,60,54,70,73,43,74,77,67,82,48,35,32
"89",1,31,76,76,9,1,7,69,168,68,73,72,75,75,73,64,61,52,57,72,68,49,81,70,77,80,74,78,80,53,50,60,79,74,69,37,69,59,72,55,55,77,79,71,79,45,50,28
"90",1,26,76,77,21,1,8,70,165,69,73,74,74,73,74,70,71,65,69,72,66,47,74,51,78,75,75,73,76,77,73,75,76,66,76,64,80,70,77,61,54,71,76,68,70,68,73,67
"91",1,27,76,76,40,2,14,72,172,74,75,75,75,69,74,58,61,53,58,74,74,60,74,77,78,73,62,58,77,74,72,77,77,76,81,64,71,68,74,68,42,79,74,69,71,43,40,36
"92",1,28,76,77,25,1,7,71,154,70,73,74,75,77,75,75,74,71,73,81,72,61,84,65,73,79,77,82,77,67,66,73,66,77,75,71,78,73,77,63,72,68,82,61,69,77,72,70
"93",1,28,76,76,29,1,17,71,157,72,74,72,74,76,73,71,68,64,66,64,78,54,80,59,73,53,59,79,75,59,59,44,84,58,70,73,85,67,75,82,67,81,72,53,80,47,64,57
"94",1,26,76,77,25,1,25,67,148,68,73,73,74,72,73,62,63,52,60,68,67,41,77,60,74,69,77,75,76,78,76,79,67,88,85,54,74,49,80,52,52,70,77,63,73,50,49,44
"95",1,29,76,76,25,2,19,72,174,73,74,74,74,72,73,66,66,61,64,72,73,65,75,80,80,76,69,71,78,73,62,76,73,75,80,77,72,64,77,54,59,73,72,74,69,57,61,48
"96",3,30,76,76,10,1,25,65,146,72,76,77,76,69,76,53,56,43,51,70,73,55,72,72,82,75,56,70,75,88,87,93,74,83,73,65,74,58,75,77,24,75,77,59,75,29,23,21
"97",1,25,76,79,40,1,35,69,157,68,73,74,75,71,74,61,62,53,60,70,70,49,80,65,80,70,75,76,80,77,84,80,58,76,72,40,68,51,71,63,35,66,74,56,68,58,55,43
"98",3,24,76,80,18,1,7,68,159,73,75,76,75,70,75,61,64,53,60,69,75,57,75,66,81,63,42,63,75,88,78,84,75,66,72,51,83,66,73,44,57,75,69,69,75,65,33,23
"99",3,21,76,88,38,1,19,69,130,66,72,74,74,69,74,54,57,41,52,73,64,34,74,56,80,67,71,66,81,78,66,82,71,84,68,55,73,49,71,41,27,70,77,58,78,44,31,24
"100",3,25,76,79,17,1,19,68,143,71,75,75,75,69,74,54,58,45,54,76,70,49,72,74,79,84,83,64,81,78,74,77,72,82,83,64,69,61,79,32,31,69,80,68,79,38,36,28
"101",3,23,76,80,8,1,11,69,161,69,73,74,75,71,74,61,62,51,58,73,71,39,77,74,73,73,72,74,77,76,73,85,72,75,79,55,74,53,77,59,38,73,76,69,74,51,49,38
"102",1,34,76,76,25,1,8,67,148,70,74,74,75,71,73,61,61,54,58,71,69,60,77,72,77,77,69,72,78,76,67,78,72,90,75,74,62,50,77,87,42,72,77,66,76,44,42,47
"103",1,24,75,82,13,1,14,70,168,70,72,72,73,71,72,62,63,56,61,69,69,60,76,69,74,72,72,74,76,68,71,74,70,75,74,65,68,55,70,52,40,75,74,67,74,55,55,53
"104",1,30,75,75,21,2,11,74,185,71,73,73,74,72,73,64,64,59,61,78,68,64,76,73,79,78,76,76,79,62,59,73,75,56,75,74,65,73,75,63,53,72,72,63,73,35,58,54
"105",3,29,75,75,18,1,32,70,161,70,73,73,74,70,73,59,59,53,56,74,64,61,76,63,76,76,78,75,78,73,76,80,75,72,71,68,63,68,70,70,36,71,74,71,68,44,42,33
"106",1,29,75,75,15,1,10,72,159,70,73,73,74,72,73,62,62,54,59,80,67,57,77,69,75,82,76,73,77,66,63,71,74,66,78,63,65,58,78,59,48,73,78,71,74,52,46,40
"107",3,29,75,75,28,2,21,71,152,66,72,73,73,69,73,56,57,43,52,74,69,22,75,68,79,76,76,73,75,77,72,77,72,76,77,53,71,53,73,75,22,66,72,74,75,31,44,30
"108",3,34,75,75,21,1,11,65,150,73,73,72,73,67,71,53,54,47,51,60,80,75,72,75,74,67,64,68,75,74,68,79,68,78,74,80,66,58,72,60,27,73,75,80,70,30,33,33
"109",1,27,75,76,53,1,7,70,148,69,72,73,73,71,73,64,65,58,63,70,60,59,75,50,77,75,40,74,75,77,79,87,74,83,75,72,79,61,70,78,46,72,71,50,70,58,49,49
"110",3,34,75,75,18,2,19,72,165,73,75,74,74,69,72,54,54,49,52,69,73,70,74,78,83,80,69,65,83,65,52,63,73,72,76,72,44,62,74,52,39,79,71,68,72,23,40,35
"111",3,20,75,85,1,1,7,70,159,67,72,74,74,69,74,55,57,44,54,77,70,43,75,62,74,72,75,78,76,77,80,77,69,64,68,55,63,53,71,47,27,69,76,62,73,40,35,32
"112",3,26,75,75,17,1,10,70,157,71,73,73,73,67,73,50,53,42,49,75,75,68,72,63,74,81,75,62,75,70,70,78,72,75,70,73,73,57,75,65,22,76,76,68,75,13,27,23
"113",3,23,75,83,8,1,10,67,150,66,72,73,74,70,74,60,62,51,59,65,66,39,77,51,78,70,66,73,74,85,82,89,64,82,69,56,77,56,68,51,40,70,76,61,71,61,44,40
"114",3,26,75,75,18,1,23,69,159,70,73,73,74,66,71,52,55,45,53,63,73,56,76,68,75,61,66,58,73,79,82,81,66,78,61,69,55,59,73,43,38,76,77,76,67,16,32,44
"115",1,24,75,79,10,1,10,70,165,71,73,73,73,71,73,63,64,58,62,67,64,64,75,63,74,70,67,73,75,80,79,74,70,67,75,68,75,74,74,54,53,73,75,55,78,50,52,42
"116",3,27,75,75,40,2,27,67,143,67,72,72,73,67,72,50,52,36,47,68,70,42,76,75,75,79,66,72,74,75,68,80,69,85,72,43,57,40,69,30,29,73,76,71,74,31,22,19
"117",1,23,75,81,25,2,39,70,168,71,73,73,74,71,73,60,61,53,58,66,72,64,75,69,79,77,71,68,76,72,68,77,68,72,71,79,72,58,67,61,55,75,77,76,75,33,46,38
"118",3,25,75,78,1,2,7,67,141,67,72,73,73,69,73,55,59,45,56,70,70,57,78,62,76,73,74,69,72,84,67,90,69,90,74,73,77,27,73,49,32,68,75,72,65,32,45,39
"119",1,29,75,75,14,1,28,70,163,73,73,72,73,73,73,68,68,62,66,75,75,65,77,74,71,74,73,75,74,63,68,67,75,72,82,53,92,70,77,69,50,75,73,56,77,67,56,53
"120",3,29,75,75,11,1,23,73,152,70,73,73,74,69,73,57,58,49,54,71,74,46,72,68,77,77,72,69,78,74,73,69,67,69,75,66,75,71,76,61,34,70,78,77,67,45,33,32
"121",3,26,75,75,17,1,21,70,165,67,72,73,74,69,73,56,57,45,54,66,64,51,74,61,75,72,73,71,76,81,72,82,74,67,55,51,71,54,62,57,41,77,76,71,78,26,33,32
"122",1,25,75,78,10,1,32,69,143,70,73,73,72,69,73,62,65,57,62,70,67,44,69,58,78,67,60,64,77,80,80,72,74,79,75,87,78,66,71,63,50,75,66,63,74,56,50,49
"123",3,26,75,75,0,1,8,70,165,67,72,73,74,69,73,56,57,45,54,66,64,51,74,61,75,72,73,71,76,81,72,82,74,67,55,51,71,54,62,57,41,77,76,71,78,26,33,32
"124",3,27,75,75,18,1,16,69,159,73,74,74,74,69,73,57,59,51,57,70,72,72,74,70,75,68,72,71,76,80,83,75,70,73,76,80,65,59,71,42,45,72,74,69,72,48,34,28
"125",1,23,75,82,22,1,10,71,163,70,73,72,73,70,73,61,61,55,59,62,77,49,76,70,79,68,75,69,80,70,67,76,72,75,75,70,78,55,53,60,26,68,75,56,78,63,58,44
"126",3,25,75,78,10,1,10,70,168,67,72,72,73,69,72,55,56,46,52,60,66,46,75,44,77,60,56,72,76,76,69,73,75,74,64,52,66,65,70,42,28,71,74,56,68,44,34,31
"127",3,26,75,77,46,1,8,68,161,68,72,73,73,70,73,59,61,51,58,71,64,50,73,69,79,74,75,72,75,78,75,91,69,76,73,81,72,59,65,50,44,69,78,67,61,50,43,35
"128",1,25,75,78,13,2,7,71,154,70,72,72,74,74,73,68,67,62,65,65,69,66,78,65,73,65,58,74,74,69,67,76,73,62,69,57,91,69,73,77,67,70,80,44,79,49,54,50
"129",1,28,75,75,29,1,23,69,174,71,73,73,73,72,73,69,70,67,69,72,67,60,73,66,76,80,78,71,74,78,80,76,70,65,79,70,71,73,78,66,69,74,73,69,69,65,66,64
"130",3,28,75,75,25,1,23,76,181,74,73,73,73,70,73,59,60,52,56,75,74,80,72,75,75,69,65,71,77,68,68,69,73,55,73,80,82,76,71,42,54,75,72,68,66,44,30,19
"131",3,25,75,76,10,2,10,67,143,66,72,74,74,71,73,58,60,47,55,76,70,34,77,71,78,76,58,75,79,68,67,74,73,75,63,60,62,56,66,41,40,72,75,69,72,36,43,39
"132",3,32,74,74,1,1,26,71,176,71,72,71,72,70,71,57,59,50,55,70,72,69,74,67,74,66,70,70,71,62,64,63,75,69,72,66,72,66,73,33,53,75,76,75,72,34,35,32
"133",3,34,74,74,19,1,8,67,148,66,71,71,72,67,70,52,55,41,51,59,72,47,75,69,75,68,64,60,75,68,66,76,74,85,60,48,67,44,63,41,43,68,76,73,79,17,32,30
"134",3,34,74,74,25,1,10,67,148,66,70,70,72,69,70,51,52,38,47,73,72,42,74,73,74,83,75,75,73,45,56,78,76,76,74,48,68,44,75,54,20,74,75,72,83,10,33,31
"135",3,28,74,74,15,1,34,64,128,64,70,72,71,63,72,45,52,32,47,69,66,36,71,50,79,66,72,67,70,90,86,94,65,94,67,55,69,30,54,33,19,70,67,49,63,30,15,16
"136",1,30,74,74,22,1,8,71,165,70,72,71,72,72,71,70,68,67,67,66,66,55,74,62,74,71,55,72,75,68,66,77,71,72,84,67,75,77,76,76,69,70,76,63,69,63,66,61
