X,ID,Name,Age,Nationality,Overall,Potential,Club,Wage,PreferredFoot,InternationalReputation,WeakFoot,SkillMoves,BodyType,Position,JerseyNumber,Height,Weight,ST,CF,W,CAM,CM,OM,CDM,WB,CB,FB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle
413,235790,K.Havertz,19,Germany,80,89,Bayer04Leverkusen,32,Left,1,5,4,Lean,CAM,29,74,183,74,78,78,79,74,78,58,61,49,58,69,72,65,82,71,81,65,53,73,83,77,86,78,78,71,66,69,73,61,66,40,32,78,83,49,80,28,42,38
418,230977,M.Almir’_n,24,Paraguay,80,84,AtlantaUnited,11,Left,1,2,4,Lean,CAM,10,69,139,73,78,78,78,74,79,64,68,54,65,71,74,43,79,75,81,74,70,70,79,90,89,86,79,64,78,46,85,52,73,65,50,74,79,64,76,43,53,49
421,230142,Oyarzabal,21,Spain,80,87,RealSociedad,29,Left,1,3,3,Lean,CAM,10,71,172,74,79,80,79,74,79,58,61,47,56,81,78,44,80,64,84,69,71,73,85,72,75,70,81,70,73,58,71,59,79,40,29,80,79,52,69,50,32,30
449,208128,H.’öalhanoó™lu,24,Turkey,80,84,Milan,89,Right,3,4,4,Normal,CAM,10,70,168,73,78,79,80,78,79,70,71,60,68,81,65,53,83,77,85,92,90,80,86,73,69,78,78,77,86,46,76,54,88,57,61,75,80,71,78,62,56,56
489,193886,D.Didavi,28,Germany,80,80,VfBStuttgart,44,Left,2,3,3,Normal,CAM,10,71,170,78,79,78,79,76,77,66,65,59,62,75,80,58,80,73,81,78,75,75,83,70,67,75,81,73,88,76,66,76,87,70,51,82,74,65,79,36,59,49
496,190544,A.Ljajióö,26,Serbia,80,81,BeÅ™iktaÅ™JK,52,Right,2,4,4,Lean,CAM,22,72,163,72,78,78,79,72,77,56,59,47,55,72,69,48,78,74,87,80,83,71,86,82,76,81,74,79,76,63,60,58,78,44,32,75,78,75,75,39,35,35
501,189575,Muniain,25,Spain,80,83,AthleticClubdeBilbao,31,Right,2,3,4,Normal,CAM,10,67,139,72,78,80,79,74,78,63,65,55,61,74,76,43,80,63,86,78,69,67,83,83,75,88,81,94,61,73,64,46,72,66,45,80,77,61,77,58,55,34
507,188388,R.Boudebouz,28,Algeria,80,80,RealBetis,31,Left,2,4,4,Lean,CAM,10,70,163,72,77,78,79,74,78,60,61,49,56,82,77,45,81,73,81,83,82,76,80,75,73,78,74,78,78,61,68,61,76,58,32,75,85,90,79,55,35,30
525,176104,V.Birsa,31,Slovenia,80,80,ChievoVerona,23,Left,2,4,4,Normal,CAM,10,72,179,74,77,77,79,76,78,67,67,61,64,78,62,60,82,73,84,78,78,76,86,70,74,68,76,68,84,68,72,77,83,55,49,75,82,76,80,68,52,40
530,171579,Ra’_lGarc’_a,31,Spain,80,80,AthleticClubdeBilbao,30,Right,2,3,4,Normal,CAM,22,72,185,80,79,77,79,80,77,76,72,75,72,78,79,90,79,55,78,72,68,80,85,47,57,66,86,64,85,76,74,82,86,84,69,85,83,76,83,69,74,63
577,225663,A.Golovin,22,Russia,79,85,ASMonaco,61,Right,1,4,4,Lean,CAM,17,71,152,72,78,78,79,78,78,74,75,67,73,69,72,38,80,70,86,75,79,73,82,80,83,82,79,78,76,63,85,54,75,81,70,73,78,52,80,67,75,66
585,220018,A.Rebióö,24,Croatia,79,82,EintrachtFrankfurt,39,Right,1,3,3,Normal,CAM,4,73,172,78,77,77,75,69,76,57,59,53,56,74,79,71,72,83,83,75,58,57,79,83,86,75,77,66,81,66,80,83,78,84,29,75,68,63,73,20,50,25
603,210324,J.Hofmann,25,Germany,79,80,BorussiaM’_nchengladbach,32,Right,2,4,3,Lean,CAM,23,69,154,70,75,77,77,73,77,62,66,51,61,81,69,40,79,62,80,69,71,71,79,78,76,78,79,77,68,61,81,56,68,43,47,78,77,70,68,49,44,40
632,201508,G.Ram’_rez,27,Uruguay,79,79,Sampdoria,41,Left,2,3,4,Lean,CAM,11,72,170,72,76,76,78,73,76,59,59,50,56,74,74,57,81,71,80,79,77,77,81,70,69,78,76,73,77,66,62,53,76,69,32,75,80,73,77,30,45,39
639,200155,H.Vanaken,25,Belgium,79,81,ClubBruggeKV,27,Right,1,5,4,Lean,CAM,18,77,176,74,76,74,77,79,76,71,68,63,64,71,74,73,84,70,77,75,78,80,83,45,55,56,80,58,74,47,91,76,75,45,69,81,83,66,80,70,53,32
643,199439,M.Gregoritsch,24,Austria,79,82,FCAugsburg,27,Left,2,3,4,Normal,CAM,11,76,192,76,76,74,75,71,73,58,58,52,55,65,80,71,77,70,75,83,78,69,78,65,68,67,78,52,84,50,69,79,81,58,33,78,73,64,65,36,40,38
646,199189,R.Barkley,24,England,79,82,Chelsea,89,Right,2,5,4,Normal,CAM,15,73,192,74,77,75,78,76,76,67,65,62,63,65,68,65,82,61,85,68,70,78,84,69,70,66,74,58,81,62,69,77,80,74,45,71,79,65,80,54,58,51
656,193738,Y.Belhanda,28,Morocco,79,79,GalatasaraySK,65,Right,2,4,4,Normal,CAM,10,70,165,74,77,78,78,76,78,69,71,63,68,79,74,67,78,69,84,78,78,76,83,75,72,85,79,78,78,77,84,63,79,75,66,70,78,80,72,50,54,55
711,161648,H.BenArfa,31,France,79,79,StadeRennaisFC,38,Left,3,4,5,Lean,CAM,18,70,163,71,76,76,77,70,75,55,55,45,50,70,70,46,78,72,88,76,73,74,80,77,69,82,70,79,78,74,51,65,75,61,36,72,78,84,77,31,27,21
713,159065,E.Lavezzi,33,Argentina,79,79,HebeiChinaFortuneFC,22,Right,3,4,4,Stocky,CAM,22,68,165,78,81,81,81,73,80,60,62,53,59,77,80,57,80,77,82,83,79,65,83,85,83,87,81,85,79,82,68,71,78,73,31,82,83,69,78,40,40,37
715,158133,J.Farf’çn,33,Peru,79,79,LokomotivMoscow,1,Right,2,3,4,Normal,CAM,10,70,185,75,77,77,77,72,77,59,60,51,57,80,73,65,77,69,78,80,75,73,79,84,84,75,77,66,75,76,69,78,72,73,39,75,80,79,80,17,43,29
736,230988,F.Krovinovióö,22,Croatia,78,84,SLBenfica,12,Right,1,4,4,Normal,CAM,20,70,154,70,74,74,76,76,74,70,68,62,65,65,64,54,80,64,79,76,55,78,81,68,69,76,74,75,78,54,71,60,72,68,70,74,80,62,82,61,57,50
739,230269,ClaudioCo’_ntra,34,Brazil,78,78,Internacional,30,Left,1,5,4,Normal,CAM,18,69,157,71,75,76,76,71,76,53,57,40,52,74,73,45,75,77,75,86,74,75,76,87,74,86,82,83,74,58,75,57,68,42,32,78,79,73,84,17,28,21
743,229406,Jo’£oNovais,24,Portugal,78,81,SCBraga,15,Right,1,3,4,Normal,CAM,17,72,170,72,76,76,76,75,77,65,67,55,64,78,72,45,78,67,78,78,83,76,77,79,70,75,77,76,84,65,88,68,81,49,50,76,78,75,76,43,57,48
750,226377,G.Mart’_nez,25,Argentina,78,82,RiverPlate,25,Left,1,2,4,Lean,CAM,10,68,165,71,77,78,77,69,77,53,59,42,54,74,70,32,70,72,86,76,73,68,81,90,88,92,79,88,80,53,72,61,82,42,23,71,72,77,77,41,28,30
753,225309,N.Amiri,21,Germany,78,85,TSG1899Hoffenheim,27,Right,1,3,4,Normal,CAM,18,71,161,69,74,75,76,75,76,67,68,58,64,73,65,43,79,65,85,76,71,73,81,77,68,79,75,76,70,66,77,66,70,48,62,69,78,65,69,53,57,46
802,210513,J.Quintero,25,Colombia,78,80,RiverPlate,15,Left,2,2,4,Stocky,CAM,8,66,148,68,74,76,77,71,74,55,56,44,52,75,66,42,78,65,83,80,77,77,83,73,71,90,72,91,83,55,44,38,73,43,35,63,85,71,75,52,30,22
828,203895,Pozuelo,26,Spain,78,79,KRCGenk,19,Right,1,5,4,Normal,CAM,24,68,159,67,74,74,77,76,74,65,64,54,60,65,66,39,82,62,81,75,74,73,83,62,57,76,76,82,66,60,75,50,71,52,62,74,82,64,81,46,52,40
837,201046,R.Saponara,26,Italy,78,80,Sampdoria,56,Right,2,4,4,Normal,CAM,5,72,161,71,75,76,77,72,76,59,60,51,56,74,64,58,80,64,83,80,70,74,85,69,75,72,68,71,72,64,68,69,66,52,30,78,80,68,76,61,34,30
852,197225,N.Lodeiro,29,Uruguay,78,78,SeattleSoundersFC,11,Left,2,4,4,Normal,CAM,7,67,152,69,74,76,76,75,77,63,65,53,60,81,65,42,79,70,78,81,77,76,81,71,68,78,79,78,71,65,87,61,76,66,42,75,78,76,78,44,49,37
854,143001,C.T’©vez,34,Argentina,78,78,BocaJuniors,26,Right,3,3,4,Stocky,CAM,32,67,176,74,76,75,76,71,75,61,62,54,59,72,77,54,78,74,79,74,68,65,77,73,70,76,74,74,83,56,73,74,70,77,34,78,78,74,80,35,51,50
869,193476,R.Cabella,28,France,78,78,ASSaint-’_tienne,36,Right,2,4,4,Lean,CAM,7,67,157,71,75,76,76,72,76,59,62,48,58,73,70,58,79,70,82,75,78,74,80,83,77,91,72,80,73,41,73,50,73,47,56,69,74,72,72,31,34,32
885,156142,R.Eremenko,31,Finland,78,78,SpartakMoscow,1,Right,2,4,4,Lean,CAM,26,73,176,71,75,75,77,75,75,66,66,59,63,75,69,43,83,85,78,74,73,78,80,69,68,70,68,73,82,71,66,72,78,63,46,73,85,61,83,59,56,58
896,185090,B.Moukandjo,29,Cameroon,77,77,BeijingRenheFC,25,Right,2,3,4,Normal,CAM,38,71,163,75,75,76,73,66,76,51,58,45,54,75,79,66,69,70,77,71,71,60,75,91,93,83,76,70,75,71,80,65,64,51,32,77,65,79,77,34,20,19
908,199952,E.’öolak,27,Turkey,77,77,AlWehda,27,Left,2,3,4,Normal,CAM,5,67,148,70,74,75,75,73,75,60,62,49,59,77,71,65,78,70,77,75,79,77,80,71,68,82,74,90,71,37,69,40,73,52,45,72,77,72,71,35,44,43
922,220697,J.Maddison,21,England,77,85,LeicesterCity,45,Right,1,4,4,Lean,CAM,22,69,161,67,74,75,76,72,75,58,60,45,56,74,69,30,78,69,77,78,79,72,82,77,74,85,68,78,83,54,67,40,73,56,45,69,81,74,76,37,40,34
930,230685,E.Akbaba,25,Turkey,77,80,GalatasaraySK,51,Left,1,3,4,Lean,CAM,20,71,161,72,74,74,75,73,75,65,66,58,63,71,70,62,76,68,76,76,74,77,77,73,77,76,69,69,77,58,83,61,75,64,51,77,78,75,74,57,55,45
944,190765,P.Gro’™,27,Germany,77,78,Brighton&HoveAlbion,47,Right,2,4,4,Lean,CAM,13,71,172,71,74,75,76,78,77,72,72,64,69,84,72,53,80,65,75,82,77,81,77,63,65,66,76,73,74,70,93,71,74,66,67,76,84,65,78,57,62,61
950,196147,G.Moreno,32,Colombia,77,77,ShanghaiGreenlandShenhuaFC,17,Left,1,2,4,Normal,CAM,10,76,183,76,76,75,76,72,75,64,65,62,64,63,74,80,75,78,80,69,62,66,78,76,74,74,72,79,76,82,80,76,73,72,43,79,79,78,74,53,50,62
951,157492,J.Valdivia,34,Chile,77,77,Colo-Colo,10,Right,2,4,4,Normal,CAM,10,68,157,68,72,73,75,73,73,59,59,48,54,71,62,60,86,55,76,71,67,71,78,67,69,77,72,78,73,48,71,63,69,57,46,62,86,76,73,29,39,21
965,230463,Sim’£oAcunha,30,Brazil,77,77,Atl’©ticoMineiro,35,Right,1,2,4,Lean,CAM,20,70,157,70,74,75,76,72,75,58,60,47,56,74,66,60,79,67,76,87,61,73,78,83,77,81,78,74,71,64,73,64,72,48,45,67,80,67,71,30,32,22
986,214092,A.Miranchuk,22,Russia,77,82,LokomotivMoscow,1,Left,1,2,3,Lean,CAM,15,72,163,69,73,74,75,71,74,55,57,44,53,65,64,53,82,62,78,64,53,71,79,71,75,77,74,67,65,58,74,64,65,43,36,72,80,57,70,22,28,29
1102,221363,D.vandeBeek,21,Netherlands,77,83,Ajax,14,Right,2,4,3,Normal,CAM,17,72,163,73,74,73,75,75,74,71,69,65,67,67,75,59,78,76,74,66,62,74,78,66,65,70,76,58,77,70,82,75,80,68,72,76,77,55,78,64,59,52
1132,221634,L.Acosta,24,Argentina,77,79,DCUnited,8,Right,1,3,5,Normal,CAM,10,63,134,70,75,75,76,71,75,59,60,50,57,61,67,53,75,67,83,74,62,68,78,87,78,91,74,90,71,57,76,49,67,69,36,72,77,54,74,45,47,31
1135,186307,M.Fabi’çn,28,Mexico,77,77,EintrachtFrankfurt,36,Right,2,4,4,Normal,CAM,8,67,143,73,74,75,75,71,74,57,58,48,54,74,72,61,77,77,78,78,78,74,78,69,66,86,75,86,81,67,71,64,80,64,34,74,74,75,76,20,38,34
1136,192708,CarlosEduardo,28,Brazil,77,77,AlHilal,41,Right,2,4,4,Normal,CAM,3,72,163,76,76,75,76,73,75,65,64,61,62,76,79,76,74,75,74,76,75,75,78,65,74,72,77,51,77,69,68,78,74,60,55,80,79,75,72,57,50,38
1146,203980,K.Fortounis,25,Greece,77,80,OlympiacosCFP,1,Right,2,4,3,Lean,CAM,10,71,168,72,75,76,76,71,75,58,60,50,56,75,72,57,77,71,81,84,80,74,78,73,77,78,74,64,74,61,65,66,77,63,32,73,76,80,77,45,35,38
1165,170719,D.Buonanotte,30,Argentina,77,77,UniversidadCat’_lica,12,Left,2,4,4,Lean,CAM,18,63,126,66,74,76,76,69,75,51,56,37,52,74,62,36,74,61,79,83,76,73,79,91,85,90,74,94,69,58,63,30,78,30,25,69,77,71,71,35,31,18
1169,143587,F.Belluschi,34,Argentina,77,77,SanLorenzodeAlmagro,22,Right,2,4,4,Normal,CAM,16,68,172,72,74,74,76,75,74,71,70,67,68,77,66,58,75,75,76,82,79,76,78,69,69,79,78,74,83,69,63,70,80,73,69,74,82,75,78,68,65,59
1170,245221,O.Abdulrahman,26,UnitedArabEmirates,77,78,AlHilal,39,Left,2,3,5,Normal,CAM,21,68,132,67,73,75,75,70,75,54,58,41,53,76,70,35,75,65,80,77,75,77,76,85,77,87,65,85,72,53,74,43,72,44,25,70,80,64,68,46,26,30
1182,167669,F.Higua’_n,33,Argentina,77,77,ColumbusCrewSC,10,Right,1,4,3,Normal,CAM,10,68,165,71,74,73,75,73,73,62,61,55,59,75,69,62,78,71,73,77,78,75,77,69,57,71,79,75,75,65,65,62,79,65,43,76,81,68,77,52,47,40
1195,188414,C.Villanueva,32,Chile,77,77,AlIttihad,39,Left,1,3,5,Normal,CAM,10,68,161,67,72,72,75,73,72,62,61,50,58,65,64,41,80,81,79,75,80,77,77,63,62,89,75,81,79,35,73,44,78,40,42,68,79,73,74,66,44,36
1242,205855,M.Livaja,24,Croatia,76,80,AEKAthens,1,Right,1,5,3,Normal,CAM,10,72,192,75,75,71,72,64,70,52,51,49,48,46,76,73,74,67,77,59,46,39,79,72,76,62,75,61,80,78,68,77,62,88,25,74,72,62,72,39,22,16
1260,187688,Ganso,28,Brazil,76,76,AmiensSC,17,Left,3,3,4,Lean,CAM,8,72,172,69,72,71,75,73,71,58,55,46,50,79,72,56,82,75,82,80,76,80,83,36,34,68,67,54,77,29,56,67,76,56,47,71,80,76,75,31,29,30
1266,228650,FranciscoGeraldes,23,Portugal,76,83,EintrachtFrankfurt,12,Right,1,4,4,Normal,CAM,18,67,146,66,73,74,75,70,75,58,61,49,58,68,55,47,73,65,84,73,72,69,82,78,75,86,78,76,64,57,73,44,57,57,29,73,78,60,77,52,43,42
1271,174381,C.Riveros,35,Paraguay,76,76,,0,Right,1,3,3,Normal,CAM,16,70,163,70,71,71,73,74,72,71,69,67,68,74,69,70,81,64,69,67,68,77,76,60,53,79,72,70,71,65,75,62,71,72,65,76,77,71,80,76,61,62
1273,196142,M.Torres,33,Colombia,76,76,DeportivoCali,4,Right,1,4,3,Normal,CAM,10,67,150,68,72,72,75,74,72,63,58,52,54,76,63,53,81,46,73,75,63,80,80,55,53,85,72,76,79,55,66,65,77,62,52,73,83,64,72,40,52,12
1289,187702,O.ElKaddouri,27,Morocco,76,76,PAOK,1,Right,1,4,3,Lean,CAM,7,73,181,73,74,74,75,74,74,67,67,63,65,73,63,71,78,70,77,77,72,75,80,73,75,72,71,54,81,70,70,77,77,56,61,74,77,70,72,50,59,53
1290,207928,T.Rogióö,25,Australia,76,79,Celtic,46,Left,1,4,4,Normal,CAM,23,74,194,73,75,74,75,70,72,59,58,53,56,61,70,60,76,68,82,76,57,70,82,74,66,74,64,75,82,52,55,77,80,48,38,75,73,56,83,46,48,41
1293,199739,Josu’©,27,Portugal,76,76,AkhisarBelediyespor,19,Left,1,2,4,Normal,CAM,27,69,165,71,74,74,74,72,73,65,65,59,63,73,71,57,75,67,78,78,73,74,77,66,70,77,73,80,82,52,71,61,77,80,54,73,76,75,71,49,53,59
1300,206655,E.Vargas,28,Chile,76,76,TigresU.A.N.L.,55,Right,2,4,4,Normal,CAM,9,69,179,75,76,76,76,70,75,56,59,50,56,69,76,65,72,81,81,72,58,66,78,84,76,86,77,72,77,77,76,65,74,60,25,76,73,70,73,34,45,36
1302,20800,Danny,34,Portugal,76,76,ClubeSportMar’_timo,12,Right,3,4,4,Lean,CAM,10,70,150,68,73,74,75,71,74,60,59,50,55,77,67,47,77,68,80,82,74,75,82,64,63,76,71,74,71,70,60,54,70,73,43,74,77,67,82,48,35,32
1306,189508,V’_ctorV’çzquez,31,Spain,76,76,TorontoFC,9,Right,1,2,3,Normal,CAM,7,69,168,68,73,72,75,75,73,64,61,52,57,72,68,49,81,70,77,80,74,78,80,53,50,60,79,74,69,37,69,59,72,55,55,77,79,71,79,45,50,28
1309,211269,G.Fern’çndez,26,Argentina,76,77,RacingClub,21,Right,1,3,3,Normal,CAM,8,70,165,69,73,74,74,73,74,70,71,65,69,72,66,47,74,51,78,75,75,73,76,77,73,75,76,66,76,64,80,70,77,61,54,71,76,68,70,68,73,67
1355,188770,A.Mehmedi,27,Switzerland,76,76,VfLWolfsburg,40,Right,2,3,3,Normal,CAM,14,72,172,74,75,75,75,69,74,58,61,53,58,74,74,60,74,77,78,73,62,58,77,74,72,77,77,76,81,64,71,68,74,68,42,79,74,69,71,43,40,36
1368,210538,L.Zuffi,28,Switzerland,76,77,FCBasel1893,25,Left,1,4,3,Normal,CAM,7,71,154,70,73,74,75,77,75,75,74,71,73,81,72,61,84,65,73,79,77,82,77,67,66,73,66,77,75,71,78,73,77,63,72,68,82,61,69,77,72,70
1384,223608,Eraso,28,Spain,76,76,CDLegan’©s,29,Right,1,3,3,Lean,CAM,17,71,157,72,74,72,74,76,73,71,68,64,66,64,78,54,80,59,73,53,59,79,75,59,59,44,84,58,70,73,85,67,75,82,67,81,72,53,80,47,64,57
1405,209288,F.Mollet,26,France,76,77,MontpellierHSC,25,Right,1,4,4,Normal,CAM,25,67,148,68,73,73,74,72,73,62,63,52,60,68,67,41,77,60,74,69,77,75,76,78,76,79,67,88,85,54,74,49,80,52,52,70,77,63,73,50,49,44
1407,182152,KooJaCheol,29,KoreaRepublic,76,76,FCAugsburg,25,Right,2,4,3,Lean,CAM,19,72,174,73,74,74,74,72,73,66,66,61,64,72,73,65,75,80,80,76,69,71,78,73,62,76,73,75,80,77,72,64,77,54,59,73,72,74,69,57,61,48
1416,190607,D.Quintero,30,Colombia,76,76,MinnesotaUnitedFC,10,Right,1,3,4,Normal,CAM,25,65,146,72,76,77,76,69,76,53,56,43,51,70,73,55,72,72,82,75,56,70,75,88,87,93,74,83,73,65,74,58,75,77,24,75,77,59,75,29,23,21
1490,201155,R.Morrison,25,England,76,79,Lazio,40,Right,1,4,3,Normal,CAM,35,69,157,68,73,74,75,71,74,61,62,53,60,70,70,49,80,65,80,70,75,76,80,77,84,80,58,76,72,40,68,51,71,63,35,66,74,56,68,58,55,43
1500,214989,M.Ben’_tez,24,Argentina,76,80,Independiente,18,Right,1,2,4,Lean,CAM,7,68,159,73,75,76,75,70,75,61,64,53,60,69,75,57,75,66,81,63,42,63,75,88,78,84,75,66,72,51,83,66,73,44,57,75,69,69,75,65,33,23
